(-0.23882,0.96512),(0.07344,0.01817),(0.00083,-0.00335),(-0.00010,-0.00003),(0.00000,0.00000),(0.00000,0.00000),(0.07344,0.01817),(0.00131,-0.00530),(-0.00023,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00083,-0.00335),(-0.00023,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00010,-0.00003),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.07344,0.01817),(-0.23789,0.96138),(0.08803,0.02178),(0.00100,-0.00402),(-0.00011,-0.00003),(0.00000,0.00000),(0.00131,-0.00531),(0.06941,0.01718),(0.00148,-0.00599),(-0.00026,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(-0.00023,-0.00006),(0.00074,-0.00299),(-0.00024,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00009,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00083,-0.00335),(0.08803,0.02178),(-0.23766,0.96043),(0.08804,0.02179),(0.00088,-0.00355),(-0.00007,-0.00002),(-0.00023,-0.00006),(0.00148,-0.00600),(0.06538,0.01618),(0.00139,-0.00560),(-0.00021,-0.00005),(0.00000,0.00000),(0.00000,0.00000),(-0.00024,-0.00006),(0.00065,-0.00263),(-0.00021,-0.00005),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00007,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00010,-0.00003),(0.00100,-0.00402),(0.08804,0.02179),(-0.23795,0.96160),(0.07773,0.01923),(0.00057,-0.00229),(0.00000,0.00000),(-0.00026,-0.00006),(0.00139,-0.00562),(0.06123,0.01515),(0.00113,-0.00458),(-0.00012,-0.00003),(0.00000,0.00000),(0.00000,0.00000),(-0.00021,-0.00005),(0.00056,-0.00228),(-0.00016,-0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00005,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.00011,-0.00003),(0.00088,-0.00355),(0.07773,0.01923),(-0.23860,0.96423),(0.05699,0.01410),(0.00000,0.00000),(0.00000,0.00000),(-0.00021,-0.00005),(0.00114,-0.00459),(0.05683,0.01406),(0.00076,-0.00307),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00016,-0.00004),(0.00048,-0.00193),(-0.00009,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00004,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(-0.00007,-0.00002),(0.00057,-0.00229),(0.05699,0.01410),(-0.23944,0.96764),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00013,-0.00003),(0.00076,-0.00308),(0.05205,0.01288),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00010,-0.00002),(0.00039,-0.00158),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00003,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.07344,0.01817),(0.00131,-0.00531),(-0.00023,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.23789,0.96138),(0.06941,0.01718),(0.00074,-0.00299),(-0.00009,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.08803,0.02178),(0.00148,-0.00599),(-0.00024,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00100,-0.00402),(-0.00026,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00011,-0.00003),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00131,-0.00530),(0.06941,0.01718),(0.00148,-0.00600),(-0.00026,-0.00006),(0.00000,0.00000),(0.00000,0.00000),(0.06941,0.01718),(-0.23719,0.95854),(0.08274,0.02047),(0.00088,-0.00354),(-0.00009,-0.00002),(0.00000,0.00000),(0.00148,-0.00600),(0.08274,0.02047),(0.00165,-0.00668),(-0.00026,-0.00007),(0.00000,0.00000),(0.00000,0.00000),(-0.00026,-0.00006),(0.00088,-0.00354),(-0.00026,-0.00007),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00009,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00023,-0.00006),(0.00148,-0.00599),(0.06538,0.01618),(0.00139,-0.00562),(-0.00021,-0.00005),(0.00000,0.00000),(0.00074,-0.00299),(0.08274,0.02047),(-0.23712,0.95827),(0.08215,0.02033),(0.00076,-0.00307),(-0.00006,-0.00001),(-0.00024,-0.00006),(0.00166,-0.00669),(0.07735,0.01914),(0.00152,-0.00614),(-0.00021,-0.00005),(0.00000,0.00000),(0.00000,0.00000),(-0.00027,-0.00007),(0.00076,-0.00306),(-0.00022,-0.00005),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00007,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.00026,-0.00006),(0.00139,-0.00560),(0.06123,0.01515),(0.00114,-0.00459),(-0.00013,-0.00003),(-0.00009,-0.00002),(0.00088,-0.00354),(0.08215,0.02033),(-0.23752,0.95988),(0.07181,0.01777),(0.00048,-0.00193),(0.00000,0.00000),(-0.00027,-0.00007),(0.00152,-0.00615),(0.07171,0.01774),(0.00121,-0.00490),(-0.00012,-0.00003),(0.00000,0.00000),(0.00000,0.00000),(-0.00022,-0.00006),(0.00064,-0.00259),(-0.00016,-0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00005,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
