0.475,0.233,0.268
0.471,0.205,0.299
0.463,0.180,0.332
0.452,0.156,0.367
0.438,0.134,0.402
0.421,0.114,0.439
0.402,0.096,0.476
0.380,0.080,0.514
0.355,0.066,0.552
0.329,0.054,0.591
0.302,0.043,0.628
0.274,0.034,0.665
0.245,0.027,0.702
0.216,0.021,0.737
0.188,0.015,0.770
0.160,0.011,0.802
0.133,0.008,0.832
0.108,0.006,0.860
0.085,0.004,0.884
0.064,0.003,0.907
0.045,0.002,0.926
0.030,0.001,0.942
0.017,0.001,0.955
0.008,0.000,0.964
0.002,0.000,0.970
0.000,0.000,0.973
0.001,0.000,0.972
0.006,0.000,0.967
0.014,0.000,0.959
0.025,0.001,0.947
0.039,0.001,0.933
0.057,0.002,0.915
0.077,0.003,0.894
0.099,0.004,0.870
0.123,0.006,0.843
0.149,0.009,0.814
0.177,0.013,0.783
0.205,0.017,0.751
0.233,0.023,0.716
0.262,0.030,0.680
0.290,0.039,0.644
0.317,0.049,0.606
0.344,0.060,0.568
0.368,0.073,0.530
0.391,0.088,0.493
0.411,0.105,0.455
0.429,0.124,0.418
0.444,0.145,0.382
0.455,0.168,0.348
0.464,0.193,0.314
0.469,0.220,0.282
0.470,0.248,0.252
0.469,0.279,0.223
0.463,0.311,0.196
0.455,0.344,0.171
0.443,0.379,0.148
0.428,0.414,0.127
0.410,0.451,0.108
0.390,0.488,0.091
0.367,0.526,0.076
0.342,0.564,0.063
0.316,0.602,0.051
0.289,0.639,0.041
0.260,0.676,0.032
0.232,0.711,0.025
0.203,0.746,0.019
0.175,0.778,0.014
0.148,0.809,0.011
0.122,0.838,0.008
0.098,0.864,0.005
0.076,0.888,0.004
0.056,0.909,0.003
0.039,0.927,0.002
0.025,0.942,0.001
0.014,0.954,0.001
0.006,0.962,0.001
0.001,0.966,0.000
0.000,0.968,0.000
0.002,0.965,0.000
0.008,0.959,0.000
0.017,0.950,0.000
0.030,0.937,0.001
0.045,0.922,0.001
0.063,0.903,0.002
0.084,0.881,0.003
0.106,0.856,0.005
0.131,0.829,0.008
0.157,0.799,0.011
0.185,0.768,0.015
0.213,0.735,0.020
0.241,0.700,0.026
0.269,0.664,0.034
0.297,0.628,0.043
0.324,0.590,0.053
0.349,0.553,0.065
0.373,0.515,0.079
0.394,0.478,0.095
0.413,0.441,0.113
0.430,0.404,0.132
0.443,0.369,0.154
0.454,0.335,0.177
0.461,0.302,0.203
0.465,0.271,0.230
0.465,0.241,0.259
0.462,0.213,0.290
0.455,0.187,0.322
0.446,0.163,0.356
0.433,0.141,0.390
0.417,0.121,0.426
0.398,0.103,0.463
0.377,0.086,0.500
0.354,0.072,0.538
0.329,0.059,0.576
0.303,0.048,0.613
0.275,0.038,0.650
0.247,0.030,0.686
0.219,0.023,0.721
0.191,0.018,0.754
0.164,0.013,0.786
0.137,0.010,0.816
0.112,0.007,0.844
0.089,0.005,0.869
0.068,0.004,0.891
0.049,0.002,0.911
0.033,0.002,0.928
0.020,0.001,0.941
0.010,0.001,0.952
0.003,0.001,0.959
0.000,0.000,0.962
0.000,0.000,0.962
0.004,0.000,0.958
0.011,0.000,0.951
0.021,0.001,0.941
0.034,0.001,0.927
0.051,0.002,0.910
0.069,0.003,0.890
0.091,0.004,0.868
0.114,0.006,0.842
0.139,0.009,0.814
0.165,0.012,0.785
0.193,0.017,0.753
0.221,0.022,0.719
0.249,0.029,0.684
0.276,0.037,0.649
0.303,0.047,0.612
0.329,0.058,0.575
0.354,0.071,0.537
0.376,0.085,0.500
0.397,0.102,0.463
0.415,0.120,0.426
0.430,0.140,0.391
0.443,0.162,0.356
0.452,0.186,0.323
0.458,0.212,0.290
0.460,0.240,0.260
0.459,0.270,0.231
0.455,0.301,0.204
0.447,0.333,0.179
0.437,0.367,0.156
0.423,0.402,0.134
0.406,0.438,0.115
0.387,0.475,0.097
0.365,0.512,0.082
0.341,0.549,0.068
0.316,0.587,0.055
0.290,0.624,0.045
0.262,0.660,0.036
0.234,0.695,0.028
0.206,0.729,0.022
0.179,0.762,0.017
0.152,0.793,0.013
0.126,0.822,0.009
0.102,0.849,0.007
0.080,0.873,0.005
0.060,0.894,0.003
0.042,0.913,0.002
0.028,0.928,0.002
0.016,0.940,0.001
0.007,0.949,0.001
0.002,0.955,0.001
0.000,0.957,0.001
0.001,0.956,0.000
0.006,0.951,0.001
0.014,0.943,0.001
0.025,0.931,0.001
0.039,0.916,0.001
0.056,0.899,0.002
0.076,0.878,0.004
0.098,0.854,0.005
0.122,0.828,0.007
0.147,0.800,0.011
0.173,0.770,0.014
0.201,0.737,0.019
0.228,0.704,0.025
0.256,0.669,0.032
0.283,0.633,0.041
0.309,0.596,0.051
0.335,0.559,0.063
0.358,0.522,0.076
0.380,0.485,0.091
0.399,0.448,0.109
0.416,0.412,0.127
0.430,0.377,0.148
0.441,0.343,0.171
0.449,0.311,0.196
0.454,0.279,0.222
0.455,0.249,0.250
0.453,0.221,0.280
0.448,0.195,0.312
0.439,0.171,0.345
0.427,0.148,0.379
0.412,0.128,0.414
0.395,0.109,0.450
0.375,0.092,0.487
0.353,0.077,0.524
0.329,0.064,0.561
0.303,0.052,0.598
0.277,0.042,0.634
0.249,0.034,0.670
0.222,0.027,0.705
0.194,0.021,0.738
0.167,0.016,0.770
0.141,0.012,0.800
0.116,0.009,0.828
0.093,0.006,0.853
0.072,0.005,0.876
0.053,0.003,0.897
0.036,0.002,0.914
0.023,0.002,0.928
0.012,0.001,0.939
0.005,0.001,0.947
0.001,0.001,0.951
0.000,0.001,0.952
0.003,0.001,0.949
0.008,0.001,0.943
0.018,0.001,0.934
0.030,0.001,0.921
0.045,0.002,0.906
0.063,0.003,0.887
0.083,0.004,0.865
0.105,0.006,0.841
0.129,0.009,0.814
0.155,0.012,0.785
0.181,0.016,0.755
0.208,0.022,0.722
0.236,0.028,0.688
0.263,0.036,0.653
0.290,0.045,0.617
0.315,0.056,0.581
0.340,0.068,0.544
0.362,0.082,0.507
0.383,0.098,0.470
0.401,0.116,0.434
0.417,0.135,0.399
0.430,0.157,0.364
0.440,0.180,0.331
0.446,0.205,0.299
0.450,0.232,0.268
0.450,0.261,0.239
0.446,0.291,0.212
0.440,0.323,0.187
0.430,0.356,0.163
0.417,0.391,0.141
0.402,0.426,0.121
0.384,0.462,0.103
0.363,0.498,0.087
0.340,0.535,0.073
0.316,0.572,0.060
0.290,0.609,0.049
0.264,0.644,0.040
0.237,0.680,0.032
0.209,0.714,0.025
0.182,0.746,0.019
0.156,0.777,0.015
0.130,0.806,0.011
0.106,0.833,0.008
0.084,0.858,0.006
0.064,0.879,0.004
0.046,0.898,0.003
0.031,0.914,0.002
0.018,0.927,0.002
0.009,0.937,0.001
0.003,0.944,0.001
0.000,0.947,0.001
0.001,0.946,0.001
0.004,0.942,0.001
0.011,0.935,0.001
0.021,0.925,0.001
0.035,0.911,0.002
0.050,0.894,0.002
0.069,0.875,0.004
0.090,0.852,0.005
0.112,0.828,0.007
0.137,0.800,0.010
0.162,0.771,0.014
0.189,0.740,0.019
0.216,0.707,0.024
0.243,0.673,0.031
0.270,0.638,0.040
0.296,0.602,0.049
0.321,0.565,0.061
0.344,0.529,0.074
0.366,0.492,0.088
0.386,0.456,0.105
0.403,0.420,0.123
0.417,0.385,0.143
0.429,0.351,0.165
0.438,0.319,0.189
0.443,0.287,0.215
0.445,0.258,0.242
